Country Name,Revenue in millions(USD),,
United States of America,"12,698.91",,
Japan,"10,481.47",,
China,"8,523.45",,
France,"3,448",,
United Kingdom,"3,309.54",,
Germany,"2,733.45",,
India,"2,212.15",,
Italy,"1,836.93",,
Spain,"1,668.18",,
Brazil,"1,434.88",,
South Korea,"1,272.24",,
Russia,"1,168.28",,
Mexico,"1,071.69",,
Canada,955.20,,
Bangladesh,782.15,,
Indonesia,730.44,,
Australia,705.86,,
Poland,662.14,,
Philippines,657.62,,
Netherlands,614.69,,
Thailand,532.91,,
Hong Kong,496.70,,
Saudi Arabia,467.07,,
Pakistan,447.48,,
Egypt,435.81,,
Belgium,424.74,,
Switzerland,422.17,,
Sweden,391.81,,
Malaysia,343.68,,
Austria,327.77,,
Portugal,286.58,,
Nigeria,285.45,,
Denmark,276.78,,
Chile,270.49,,
Colombia,262.28,,
Turkey,256.52,,
Central Africa,254.26,,
Israel,244.16,,
Vietnam,238.73,,
South Africa,232.95,,
Romania,232.90,,
Iraq,215.49,,
Iran,210.58,,
Tanzania,200.77,,
Norway,197.46,,
Czechia,192.19,,
Finland,187.42,,
Myanmar,186.77,,
Peru,185.85,,
Greece,185.03,,
Ethiopia,169.15,,
Ireland,167.40,,
Uganda,149.55,,
Singapore,144.26,,
Ukraine,143.54,,
Morocco,141.48,,
United Arab Emirates,140.08,,
Algeria,137.76,,
Hungary,135.39,,
New Zealand,126.75,,
Nepal,121.50,,
Kazakhstan,120.95,,
Ecuador,111.16,,
Cameroon,108.34,,
Ivory Coast,108.27,,
Kenya,108.13,,
Guatemala,105.25,,
Sri Lanka,96.22,,
Dominican Republic,94.01,,
Cuba,92.14,,
Mozambique,91.86,,
Slovakia,86.44,,
Niger,85.18,,
Cambodia,81.95,,
Azerbaijan,79.37,,
Uzbekistan,78.24,,
Ghana,76.61,,
Bulgaria,75.90,,
Burkina Faso,75.65,,
Serbia,73.42,,
Madagascar,70.62,,
Croatia,69.66,,
Panama,67.32,,
Qatar,66.99,,
Jordan,66.93,,
Bolivia,65.91,,
Costa Rica,65.82,,
Senegal,65.66,,
Chad,59.70,,
Kuwait,59.69,,
Lithuania,58.56,,
Belarus,53.74,,
Argentina,50.96,,
Tunisia,49.34,,
Honduras,46.11,,
Benin,45.55,,
El Salvador,44.12,,
Malawi,43.96,,
Angola,41.57,,
Slovenia,41.53,,
Oman,40.29,,
Uruguay,38.50,,
Papua New Guinea,38.06,,
Tajikistan,34.84,,
Guinea,34.45,,
Bosnia and Herzegovina,34.34,,
Turkmenistan,33.37,,
Rwanda,33.08,,
Burundi,32.92,,
Laos,32.75,,
Luxembourg,32.42,,
Paraguay,32.36,,
Albania,31.81,,
Jamaica,31.22,,
Togo,30.99,,
Latvia,29.74,,
Cyprus,26.99,,
Zambia,26.45,,
Nicaragua,26.10,,
Moldova,25.72,,
Kyrgyzstan,25.49,,
Georgia,25.26,,
Haiti,24.71,,
Estonia,24.33,,
Bahrain,23.45,,
Republic of the Congo,22.92,,
Armenia,21.64,,
North Macedonia,19.79,,
Iceland,19.17,,
Lebanon,16.46,,
Namibia,15.05,,
Mongolia,14.40,,
Sierra Leone,13.49,,
Gabon,12.07,,
Botswana,11.98,,
Malta,10.67,,
Mauritius,10.34,,
Equatorial Guinea,9.67,,
Montenegro,8.93,,
Timor-Leste,7.32,,
Lesotho,7.23,,
Fiji,7.22,,
Gambia,6.44,,
Belize,5.33,,
Brunei Darussalam,4.81,,
Guyana,4.35,,
Bhutan,4.30,,
Sudan,4.01,,
Seychelles,1.29,,
Suriname,0.74,,
Zimbabwe,0.55,,
