Country Name ,total consumer spending on clothing & footwear by country 2023 (in million usd)
Afghanistan,0
Albania,613.93
Algeria,"3,758.11"
Angola,"2,260.95"
Antarctica,0
Argentina,"22,691"
Armenia,849.01
Australia,"33,441.74"
Austria,"13,591.13"
Azerbaijan,"1,765.24"
Bahamas,0
Bangladesh,"13,173.04"
Belarus,"1,744.30"
Belgium,"14,100.71"
Belize,66.08
Benin,983.36
Bhutan,166.82
Bolivia,"1,040.20"
Bosnia and Herz.,858.65
Botswana,400.18
Brazil,"68,531.09"
Brunei,157.33
Bulgaria,"2,080.16"
Burkina Faso,486.95
Burundi,109.37
Cambodia,473.78
Cameroon,"2,648.50"
Canada,"43,465.29"
Central African Rep.,0
Chad,576.64
Chile,"11,513.69"
China,"389,050.14"
Colombia,"13,728.63"
Congo,0
Costa Rica,"1,652.17"
Côte d'Ivoire,0
Croatia,"1,710.75"
Cuba,887.56
Cyprus,924.13
Czechia,"6,600.45"
Dem. Rep. Congo,
Denmark,"7,157.39"
Djibouti,0
Dominican Rep.,"1,766.98"
Ecuador,"3,893.80"
Egypt,"16,888.19"
El Salvador,578.29
Eq. Guinea,297.15
Eritrea,0
Estonia,"1,197.86"
eSwatini,0
Ethiopia,"4,800.57"
Falkland Is.,0
Fiji,128.71
Finland,"5,682.26"
Fr. S. Antarctic Lands,0
France,"53,679.75"
Gabon,269.88
Gambia,197.49
Georgia,"1,159.66"
Germany,"93,596.27"
Ghana,"3,944.57"
Greece,"6,325.69"
Greenland,0
Guatemala,"3,672.68"
Guinea,661.34
Guinea-Bissau,0
Guyana,213.61
Haiti,750.65
Honduras,"1,688.31"
Hungary,"3,367.33"
Iceland,545.52
India,"109,257.71"
Indonesia,"24,793.62"
Iran,"8,816.98"
Iraq,"4,633.96"
Ireland,"7,372.80"
Israel,"7,036.38"
Italy,"73,168.48"
Jamaica,764.65
Japan,"37,245.27"
Jordan,"1,698.80"
Kazakhstan,"9,015.81"
Kenya,"1,693.96"
Kosovo,0
Kuwait,"3,148.27"
Kyrgyzstan,"1,000.90"
Laos,158.36
Latvia,"1,548.09"
Lebanon,981.65
Lesotho,186.40
Liberia,0
Libya,0
Lithuania,"2,081.17"
Luxembourg,"1,224.90"
Madagascar,415.96
Malawi,409.40
Malaysia,"7,035.13"
Mali,489.08
Mauritania,498.13
Mexico,"25,697.68"
Moldova,"1,624.55"
Mongolia,587.06
Montenegro,278.02
Morocco,"4,029.18"
Mozambique,803.73
Myanmar,"1,000.47"
N. Cyprus,0
Namibia,444.46
Nepal,"1,584.87"
Netherlands,"24,367.56"
New Caledonia,0
New Zealand,"5,482.42"
Nicaragua,461.48
Niger,833.03
Nigeria,"12,477.09"
North Korea,0
North Macedonia,419.89
Norway,"7,379.16"
Oman,"2,221.07"
Pakistan,"12,900.95"
Palestine,0
Panama,"2,073.56"
Papua New Guinea,182.65
Paraguay,"1,534.10"
Peru,"7,827.15"
Philippines,"7,252.44"
Poland,"21,686.05"
Portugal,"9,654.57"
Puerto Rico,0
Qatar,"3,149.77"
Romania,"13,786.41"
Russia,"57,181.80"
Rwanda,666.22
S. Sudan,0
Saudi Arabia,"13,973.21"
Senegal,949.99
Serbia,"2,292.49"
Sierra Leone,0
Slovakia,"3,119.52"
Slovenia,"2,042.59"
Solomon Is.,0
Somalia,0
Somaliland,0
South Africa,"10,374.12"
South Korea,"36,684.90"
Spain,"32,087.96"
Sri Lanka,"1,664.04"
Sudan,"1,188.29"
Suriname,63.75
Sweden,"10,225.86"
Switzerland,"10,024.75"
Syria,0
Taiwan,0
Tajikistan,134.79
Tanzania,"2,446.05"
Thailand,"9,194.08"
Timor-Leste,66.93
Togo,413.61
Trinidad and Tobago,0
Tunisia,"1,710.37"
Turkey,"44,256.84"
Turkmenistan,"1,225.02"
Uganda,"1,076.08"
Ukraine,"5,343.86"
United Arab Emirates,"8,973.36"
United Kingdom,"98,683.52"
United States of America,"548,516.79"
Uruguay,"2,722.77"
Uzbekistan,"2,979.69"
Vanuatu,0
Venezuela,0
Vietnam,"8,966.06"
W. Sahara,0
Yemen,0
Zambia,534.52
Zimbabwe,"1,409.20"
