Country Name,GDP 2022
Aruba,3544707788.05664
Africa Eastern and Southern,1183962133998.87
Afghanistan,14502158192.0904
Africa Western and Central,877140805320.357
Angola,104399746853.401
Albania,18916378860.5488
Andorra,3380602042.84283
Arab World,3613682354462.24
United Arab Emirates,507063968277.74
Argentina,631133384439.944
Armenia,19513474648.2429
American Samoa,871000000
Antigua and Barbuda,1867733333.33333
Australia,1692956646855.7
Austria,470941926750.741
Azerbaijan,78807470588.2353
Burundi,3338722827.65691
Belgium,583613982019.263
Benin,17425418044.2906
Burkina Faso,18820219331.2261
Bangladesh,460131688909.301
Bulgaria,90346169914.9349
Bahrain,44383297872.3404
"Bahamas, The",13136400000
Bosnia and Herzegovina,24534663636.1778
Belarus,73775179924.603
Belize,2830507575.6841
Bermuda,7827980000
Bolivia,44008282879.8842
Brazil,1951923942083.32
Barbados,5840673700
Brunei Darussalam,16681536466.7183
Bhutan,2898227713.22315
Botswana,20321958850.0363
Central African Republic,2382618615.01694
Canada,2161483369422.01
Central Europe and the Baltics,1943576044705.41
Switzerland,818426550206.45
Channel Islands,11228317318.7652
Chile,302116539409.03
China,17881783387000.9
Cote d'Ivoire,70173140101.4315
Cameroon,43644068310.851
"Congo, Dem. Rep.",65801547619.5974
"Congo, Rep.",15817030156.9459
Colombia,345329875078.512
Comoros,1242519407.77603
Cabo Verde,2303738020.15148
Costa Rica,69243626028.5936
Caribbean small states,48138054138.9849
Curacao,3073840325.43285
Cayman Islands,6600844001.53721
Cyprus,29250532020.0746
Czechia,290565654835.809
Germany,4082469490797.68
Djibouti,3674298479.07676
Dominica,607159259.259259
Denmark,400167196948.707
Dominican Republic,113537368176.13
Algeria,225560256621.757
East Asia & Pacific (excluding high income),21113809331055.5
Early-demographic dividend,14131148776107.2
East Asia & Pacific,30663750183419.1
Europe & Central Asia (excluding high income),1803038234535.2
Europe & Central Asia,25389267749916
Ecuador,116586079000
"Egypt, Arab Rep.",476747720364.742
Euro area,14224347000135.6
Spain,1417800466262.65
Estonia,37921480881.5429
Ethiopia,126772703047.701
European Union,16761496590765.2
Fragile and conflict affected situations,1950006457159.66
Finland,281887430795.721
Fiji,4979979531.2725
France,2779092236505.85
Faroe Islands,3555929833.05051
"Micronesia, Fed. Sts.",430000000
Gabon,21071739227.9422
United Kingdom,3088839763445.02
Georgia,24984568959.605
Ghana,74263364041.8742
Guinea,20999229260.4995
"Gambia, The",2175099789.97829
Guinea-Bissau,1714166526.44573
Equatorial Guinea,13486788878.9757
Greece,217581324512.059
Grenada,1224577777.77778
Guatemala,95003330315.8754
Guam,6910000000
Guyana,14718388489.2086
High income,64444446480056.6
"Hong Kong SAR, China",358696261481.16
Honduras,31426041806.7985
Heavily indebted poor countries (HIPC),981675388899.477
Croatia,71997070660.4835
Haiti,20253551920.5516
Hungary,177006128624.627
IBRD only,37733201523901.4
IDA & IBRD total,40566997900554.3
IDA total,2835003428054.01
IDA blend,1183656384165.71
Indonesia,1319076267310.16
IDA only,1651361994353.62
India,3353470496885.95
Ireland,533140011838.276
"Iran, Islamic Rep.",413394567603.552
Iraq,286640340965.517
Iceland,28701830401.6837
Israel,525002447652.773
Italy,2066972096553.7
Jamaica,17097760686.7775
Jordan,48653381830.9859
Japan,4256410760723.75
Kazakhstan,225496328925.494
Kenya,113419826113.903
Kyrgyz Republic,12134931017.9465
Cambodia,29504829319.3169
Kiribati,270520731.599041
St. Kitts and Nevis,981429629.62963
"Korea, Rep.",1673916511799.71
Kuwait,182809482400.924
Latin America & Caribbean (excluding high income),5389510951677.69
Lao PDR,15468785203.7532
Lebanon,20992421948.8081
Liberia,4001047000
Libya,55938727098.0174
St. Lucia,2343703788.17323
Latin America & Caribbean,6341680448313.76
Least developed countries: UN classification,1424615962242.83
Low income,530578689814.764
Liechtenstein,7364654515.13984
Sri Lanka,74144875098.0587
Lower middle income,7341102945343.33
Low & middle income,36438640513559.9
Lesotho,2289355249.40148
Late-demographic dividend,28062557325965.1
Lithuania,71013953448.2085
Luxembourg,81641807865.7591
Latvia,40422521943.4418
"Macao SAR, China",24464719190.0616
Morocco,130912558829.84
Monaco,8784002931.68665
Moldova,14510490660.2516
Madagascar,15302510500.0528
Maldives,6170638746.31376
Middle East & North Africa,4497116837259.17
Mexico,1463323889036.56
Marshall Islands,258774475.097656
Middle income,35907869702102.2
North Macedonia,13711469681.1535
Mali,18780322203.7584
Malta,18357069272.7682
Myanmar,62253049891.6449
Middle East & North Africa (excluding high income),1760103359907.54
Montenegro,6229801580.79157
Mongolia,17146471713.748
Mozambique,18406835494.9468
Mauritania,9744039514.55646
Mauritius,12927979286.0453
Malawi,13129458325.7379
Malaysia,407027451714.616
North America,27913419349422
Namibia,12567271004.6761
New Caledonia,9623318718.31459
Niger,15433852712.2963
Nigeria,472624596925.938
Nicaragua,15649934214.9276
Netherlands,1009398719033.08
Norway,593726965415.619
Nepal,41182939600.67
Nauru,153824609.470517
New Zealand,246733522841.353
OECD members,60170092967268.4
Oman,114667360208.062
Other small states,223331355321.864
Pakistan,374787958882.308
Panama,76522511780.6222
Peru,246488757636.211
Philippines,404353369604.631
Palau,242333709.716797
Papua New Guinea,31603619036.6338
Poland,689763329458.441
Pre-demographic dividend,1639586866408.66
Puerto Rico,113567200000
Portugal,255196659934.378
Paraguay,41952910858.0846
West Bank and Gaza,19165500000
Pacific island small states,10316299126.576
Post-demographic dividend,56564201304341.6
French Polynesia,5814661208.90544
Qatar,235770403734.9
Romania,298891515898.026
Russian Federation,2266029240645.34
Rwanda,13316160803.5187
South Asia,4327288984027.91
Saudi Arabia,1108571466666.67
Sudan,51666875363.0963
Senegal,27619479059.6131
Singapore,498474540987.78
Solomon Islands,1566360686.10632
Sierra Leone,4094563859.43556
El Salvador,31988920000
Somalia,10419541202.0391
Serbia,63563410720.7093
Sub-Saharan Africa (excluding high income),2059044970799.4
Sub-Saharan Africa,2061102939319.23
Small states,281850778773.269
Sao Tome and Principe,542686976.457587
Suriname,3620987993.32637
Slovak Republic,115584743573.553
Slovenia,60063475466.3446
Sweden,590409594949.102
Eswatini,4790922788.70864
Sint Maarten (Dutch part),1537088715.0838
Seychelles,2057968519.83091
Turks and Caicos Islands,1228794382.95121
Chad,12396807590.173
East Asia & Pacific (IDA & IBRD countries),21087707522778
Europe & Central Asia (IDA & IBRD countries),5220065561112.42
Togo,8169476148.95692
Thailand,495645210972.751
Tajikistan,10713525200.3998
Turkmenistan,56542857142.8571
Latin America & the Caribbean (IDA & IBRD countries),6045250902748.99
Timor-Leste,3204753000
Middle East & North Africa (IDA & IBRD countries),1740947356984.75
Tonga,500274898.085221
South Asia (IDA & IBRD),4327288984027.91
Sub-Saharan Africa (IDA & IBRD countries),2061102939319.23
Trinidad and Tobago,30053575132.142
Tunisia,44579761022.8993
Turkiye,907118435952.688
Tuvalu,59065982.0873657
Tanzania,75769974505.0106
Uganda,45565333216.4142
Ukraine,161989520721.19
Upper middle income,28567593041349.3
Uruguay,70164683290.3776
United States,25744108000000
Uzbekistan,81140823252.4164
St. Vincent and the Grenadines,966492592.592592
Viet Nam,410324028883.325
Vanuatu,1022219297.50335
World,101225059591363
Samoa,832945205.637185
Kosovo,9354903061.8898
South Africa,405270850098.738
Zambia,29163782140.4858
Zimbabwe,27366627153.0954
